entry_id,name,specialty,degree,experience,experience_years,consultation_fee,rating,bangalore_location,latitude,longitude,google_maps_link,coordinates,location_index,source_url,scraped_at,scraping_session,created_at,updated_at
1,Ravishankar Reddy C R,general-physician,"MBBS, MD - General Medicine",32 Years Experience Overall,32,1000,4.0,Koramangala,12.92547,77.63599,"http://www.google.com/maps/place/12.92547,77.63599","12.92547,77.63599",1,https://www.practo.com/bangalore/doctor/dr-ravishankar-reddy-c-r-diabetologist,2025-09-04T22:37:02.749825,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
2,Vasanthakumar R.S,general-physician,"MBBS, MD - General Medicine, DM - Nephrology",45 Years Experience Overall  (33 years as specialist),45,740,3.5,Banaswadi,12.9878536,77.571869,"http://www.google.com/maps/place/12.9878536,77.571869","12.9878536,77.571869",1,https://www.practo.com/bangalore/doctor/dr-vasanthakumar-r-s-general-practitioner,2025-09-04T22:37:10.558563,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
3,Vasanthakumar R.S,general-physician,"MBBS, MD - General Medicine, DM - Nephrology",45 Years Experience Overall  (33 years as specialist),45,740,3.5,Banaswadi,12.936327765036,77.584438025951,"http://www.google.com/maps/place/12.936327765036,77.584438025951","12.936327765036,77.584438025951",2,https://www.practo.com/bangalore/doctor/dr-vasanthakumar-r-s-general-practitioner,2025-09-04T22:37:10.558563,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
4,Chikkalingaiah,general-physician,"MD - General Medicine, MBBS",46 Years Experience Overall  (30 years as specialist),46,600,3.5,Hebbal,13.058595664151529,77.58485242724419,"http://www.google.com/maps/place/13.058595664151527,77.58485242724419","13.058595664151527,77.58485242724419",1,https://www.practo.com/bangalore/doctor/dr-dr-chikkalingaiah-general-medicine,2025-09-04T22:37:18.285288,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
5,Gaikwad Pandit.A,general-physician,"MBBS, Diploma in Child Health (DCH)",23 Years Experience Overall,23,800,3.5,Bangalore,13.058595664151529,77.58485242724419,"http://www.google.com/maps/place/13.058595664151527,77.58485242724419","13.058595664151527,77.58485242724419",1,https://www.practo.com/bangalore/doctor/dr-gaikwad-pandit-a,2025-09-04T22:37:25.289259,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
6,M Sri Sai Prasad,general-physician,"MBBS, MD - General Medicine",29 Years Experience Overall,29,650,5.0,Bangalore,13.005052,77.7570342,"http://www.google.com/maps/place/13.005052,77.7570342","13.005052,77.7570342",1,https://www.practo.com/bangalore/doctor/dr-m-sri-sai-prasad-general-physician-1,2025-09-04T22:37:30.117936,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
7,Kalaivani,general-physician,"MBBS, MD - General Medicine",26 Years Experience Overall  (22 years as specialist),26,800,4.5,HSR Layout,12.923978621392791,77.64819118833974,"http://www.google.com/maps/place/12.923978621392793,77.64819118833974","12.923978621392793,77.64819118833974",1,https://www.practo.com/bangalore/doctor/dr-kalaivani-cardiologist,2025-09-04T22:37:37.908866,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
8,Harish K V,general-physician,"MBBS, MD - General Medicine",29 Years Experience Overall,29,1000,5.0,Richmond Town,12.966053,77.609366,"http://www.google.com/maps/place/12.966053,77.609366","12.966053,77.609366",1,https://www.practo.com/bangalore/doctor/dr-harish-k-v-diabetologist,2025-09-04T22:37:44.973931,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
9,Vasudha Paul,general-physician,"MD - General Medicine, MBBS",17 Years Experience Overall  (10 years as specialist),17,900,4.2,Bangalore,12.836213655473,77.698868580817,"http://www.google.com/maps/place/12.836213655473,77.698868580817","12.836213655473,77.698868580817",1,https://www.practo.com/bangalore/doctor/vasudha-paul-general-physician,2025-09-04T22:37:52.124669,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
10,Vasudha Paul,general-physician,"MD - General Medicine, MBBS",17 Years Experience Overall  (10 years as specialist),17,900,4.2,Bangalore,12.835339746435,77.693793672211,"http://www.google.com/maps/place/12.835339746435,77.693793672211","12.835339746435,77.693793672211",2,https://www.practo.com/bangalore/doctor/vasudha-paul-general-physician,2025-09-04T22:37:52.124669,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
11,Pradeep C,general-physician,"MBBS, MD - General Medicine",22 Years Experience Overall,22,600,3.5,KR Puram,13.0160183,77.7007569,"http://www.google.com/maps/place/13.0160183,77.7007569","13.0160183,77.7007569",1,https://www.practo.com/bangalore/doctor/dr-pradeep-c-1-general-surgeon,2025-09-04T22:37:58.142947,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
12,Raghu B M,general-physician,"MBBS, DNB - General Medicine, DNB - Gastroenterology",19 Years Experience Overall  (8 years as specialist),19,950,4.5,Hebbal,13.054552010758,77.591893828697,"http://www.google.com/maps/place/13.054552010758,77.591893828697","13.054552010758,77.591893828697",1,https://www.practo.com/bangalore/doctor/dr-raghu-b-m-gastroenterologist,2025-09-04T22:38:05.165344,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
13,Raghu B M,general-physician,"MBBS, DNB - General Medicine, DNB - Gastroenterology",19 Years Experience Overall  (8 years as specialist),19,950,4.5,Hebbal,13.0950791,77.5159871,"http://www.google.com/maps/place/13.0950791,77.5159871","13.0950791,77.5159871",2,https://www.practo.com/bangalore/doctor/dr-raghu-b-m-gastroenterologist,2025-09-04T22:38:05.165344,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
14,Raghu B M,general-physician,"MBBS, DNB - General Medicine, DNB - Gastroenterology",19 Years Experience Overall  (8 years as specialist),19,950,4.5,Hebbal,13.102823585804376,77.58451581001282,"http://www.google.com/maps/place/13.102823585804375,77.58451581001282","13.102823585804375,77.58451581001282",3,https://www.practo.com/bangalore/doctor/dr-raghu-b-m-gastroenterologist,2025-09-04T22:38:05.165344,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
15,Huzefa Suratwala  Ismail,general-physician,"MBBS, DNB, DNB - General Medicine, Diploma Tuberculosis Chest Diseases (DTCD)",27 Years Experience Overall  (18 years as specialist),27,700,4.5,Bangalore,12.923978621392791,77.64819118833974,"http://www.google.com/maps/place/12.923978621392793,77.64819118833974","12.923978621392793,77.64819118833974",1,https://www.practo.com/bangalore/doctor/dr-huzefa-general-physician-1,2025-09-04T22:38:18.986545,20250904_223645,2025-09-05 08:35:42,2025-09-05 08:35:42
